frn_id,origin_latitude,origin_longitude,logistic_region
244610,-23.621545,-46.699664,SAO PAULO
247599,-23.621656,-46.699464,Sao Paulo
254410,-23.621545,-46.699664,Sao Paulo
267671,-23.621076,-46.699246,Sao Paulo
287747,-23.621091,-46.699242,Sao Paulo
288826,-23.621545,-46.699664,Sao Paulo
290347,-23.621545,-46.699664,Sao Paulo
292294,-23.621545,-46.699664,Sao Paulo
294604,-23.621545,-46.699664,Sao Paulo
294832,-23.621545,-46.699664,Sao Paulo
310520,-23.621091,-46.699242,Sao Paulo
315306,-23.621091,-46.699242,Sao Paulo
318449,-23.621545,-46.699664,Sao Paulo
539547,-23.621091,-46.699242,Sao Paulo
541249,-23.62084,-46.699992,Sao Paulo
582929,-23.621091,-46.699242,Sao Paulo
588759,-23.62088,-46.700047,Sao Paulo
596583,-23.621545,-46.699664,Sao Paulo
631799,-23.621091,-46.699242,Sao Paulo
